L,Nsteps,Ntot,S2_tot,V,V_offset,beta,chi,dBeta,file_mtime,interacting,lattice_geometry,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,spinful,svd,t,tp,varsigma,ymax
25,200,33,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.26,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.28,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,35,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.2999999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,36,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.3199999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,37,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.3399999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,38,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.36,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,39,24.51662770191532,1.0,-0.2284712615807715,0.6,64,0.1,1764110114.0,True,sawtooth,-0.8687678936208492,-0.8687678936208492,-0.6402966320400776,0.38,0.4,0.4847082898728124,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,0.0114703054471366,0
25,200,40,24.79784091019002,1.0,0.0,0.6,64,0.1,1764110114.0,True,sawtooth,-0.6402966320400776,-0.6402966320400776,-0.6402966320400776,0.4,0.4,0.4959568182038004,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,0.0,0
25,200,41,25.050479786806303,1.0,0.225707902707129,0.6,64,0.1,1764110114.0,True,sawtooth,-0.4145887293329485,-0.4145887293329485,-0.6402966320400776,0.4199999999999999,0.4,0.5060623732684518,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.0100851911327202,0
25,200,42,25.270883358343863,1.0,0.4491526900319176,0.6,64,0.1,1764110114.0,True,sawtooth,-0.19114394200816,-0.19114394200816,-0.6402966320400776,0.4399999999999999,0.4,0.5148785161299542,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.0187188726822901,0
25,200,43,25.4555412744612,1.0,0.6708643774046492,0.6,64,0.1,1764110114.0,True,sawtooth,0.0305677453645716,0.0305677453645716,-0.6402966320400776,0.4599999999999999,0.4,0.5222648327746476,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.0258372178057369,0
25,200,44,25.60253895687919,1.0,0.8914073673514102,0.6,64,0.1,1764110114.0,True,sawtooth,0.2511107353113326,0.2511107353113326,-0.6402966320400776,0.48,0.4,0.5281447400713671,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.0314304002444629,0
25,200,45,25.709324744355243,1.0,1.1112764131128157,0.6,64,0.1,1764110114.0,True,sawtooth,0.4709797810727381,0.4709797810727381,-0.6402966320400776,0.5,0.4,0.5324161715704094,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.035453433461544,0
25,200,46,25.77372813145272,1.0,1.330963616808002,0.6,64,0.1,1764110114.0,True,sawtooth,0.6906669847679243,0.6906669847679243,-0.6402966320400776,0.52,0.4,0.5349923070543083,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.037863642243971,0
25,200,47,25.793012066889688,1.0,1.5509794426605723,0.6,64,0.1,1764110114.0,True,sawtooth,0.9106828106204948,0.9106828106204948,-0.6402966320400776,0.5399999999999999,0.4,0.535763664471787,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,-0.0385829756570835,0
25,200,48,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.5599999999999999,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.6,64,0.1,1764110114.0,True,sawtooth,,,-0.6402966320400776,0.58,0.4,,0.4959568182038004,-2.0,False,1e-08,1.0,1.41421356237,,0
