obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	S(a.u.)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"49.8403"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.877"	"49.878"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200490"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).13s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.877"	"49.878"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200490"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).12d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.8778"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.9309"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.933"	"49.933"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200270"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).12s"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.933"	"49.933"	"0.012"	"a,w*"	""	""	""		"0.0000"	"200270"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).11d"	"2P*"	"1/2,3/2"		""	"L6851"	
"49.9362"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.9915"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.9945"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.9968"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"49.9995"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.005"	"50.005"	"0.013"	"a,w*"	""	""	""		"0.0000"	"199980"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).11s"	"2P*"	"1/2,3/2"		""	"L6851"	
"50.005"	"50.005"	"0.013"	"a,w*"	""	""	""		"0.0000"	"199980"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).10d"	"2P*"	"1/2,3/2"		""	"L6851"	
"50.0091"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0134"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0177"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0224"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0287"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0356"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0519"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0628"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0747"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0844"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0867"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0903"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.0936"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1033"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1086"	"50.1085"	"0.0008"	"a"	""	""	""		"0.0000"	"199567"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).10s"	"2P*"	"1/2,3/2"		""	"L6851"	
"50.113"	""	""	"a,w"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1248"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1324"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1387"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1487"	""	""	"a,d"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1606"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1629"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1663"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1696"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1729"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1769"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1838"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1908"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.1968"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2034"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2170"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2236"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2382"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2409"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2435"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2534"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2611"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2660"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.27"	"50.28"	"0.04"	"a,w*"	""	""	""		"0.0000"	"198900"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).8d"	"2P*?"	"1/2,3/2"		""	"L6851"	
"50.27"	"50.28"	"0.04"	"a,w*"	""	""	""		"0.0000"	"198900"	"3p6.4s"	"2S"	"1/2"	"3p5.4s.(1P*).9s"	"2P*?"	"1/2,3/2"		""	"L6851"	
"50.2849"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.2946"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.3028"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.3121"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.3304"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.3725"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.4116"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.4288"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
"50.4311"	""	""	"a"	""	""	""		""	""	""	""	""	""	""	""		""	"L6851"	
