Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
42,25.270883358343866,1.0,-0.4491526900319188,0.6,1764110114.0,-0.6402966320400783,-0.6402966320400783,-0.1911439420081594,0.39999999999999997,0.44,0.4959568182038004,0.5148785161299542,-2.0,1.41421356237,0.01871887268229018
43,25.52352223496015,1.0,-0.22344478732478854,0.6,1764110114.0,-0.41458872933294794,-0.41458872933294794,-0.1911439420081594,0.42,0.44,0.5060623732684518,0.5148785161299542,-2.0,1.41421356237,0.00863531175315869
44,25.743925806497707,1.0,0.0,0.6,1764110114.0,-0.1911439420081594,-0.1911439420081594,-0.1911439420081594,0.44,0.44,0.5148785161299542,0.5148785161299542,-2.0,1.41421356237,0.0
45,25.928583722615045,1.0,0.22171168737273164,0.6,1764110114.0,0.030567745364572244,0.030567745364572244,-0.1911439420081594,0.46,0.44,0.5222648327746476,0.5148785161299542,-2.0,1.41421356237,-0.007121789531306993
46,26.075581405033034,1.0,0.44225467731949264,0.6,1764110114.0,0.25111073531133327,0.25111073531133327,-0.1911439420081594,0.48000000000000004,0.44,0.5281447400713671,0.5148785161299542,-2.0,1.41421356237,-0.012719010686040122
47,26.182367192509094,1.0,0.662123723080897,0.6,1764110114.0,0.4709797810727375,0.4709797810727375,-0.1911439420081594,0.49999999999999994,0.44,0.5324161715704094,0.5148785161299542,-2.0,1.41421356237,-0.016745674017467068
48,26.24677057960656,1.0,0.8818109267760837,0.6,1764110114.0,0.6906669847679243,0.6906669847679243,-0.1911439420081594,0.52,0.44,0.5349923070543083,0.5148785161299542,-2.0,1.41421356237,-0.01915834832265265
49,26.26605451504353,1.0,1.1018267526286554,0.6,1764110114.0,0.910682810620496,0.910682810620496,-0.1911439420081594,0.54,0.44,0.535763664471787,0.5148785161299542,-2.0,1.41421356237,-0.01987845979101198
50,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.56,0.44,,0.5148785161299542,-2.0,1.41421356237,
51,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.5800000000000001,0.44,,0.5148785161299542,-2.0,1.41421356237,
52,,1.0,,0.6,1764110114.0,,,-0.1911439420081594,0.6000000000000001,0.44,,0.5148785161299542,-2.0,1.41421356237,
30,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.15999999999999998,0.44,,0.4767390563735833,-2.0,1.41421356237,
31,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.18,0.44,,0.4767390563735833,-2.0,1.41421356237,
32,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.2,0.44,,0.4767390563735833,-2.0,1.41421356237,
33,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.22000000000000003,0.44,,0.4767390563735833,-2.0,1.41421356237,
34,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.24000000000000005,0.44,,0.4767390563735833,-2.0,1.41421356237,
35,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.25999999999999995,0.44,,0.4767390563735833,-2.0,1.41421356237,
36,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.27999999999999997,0.44,,0.4767390563735833,-2.0,1.41421356237,
37,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.3,0.44,,0.4767390563735833,-2.0,1.41421356237,
38,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.32,0.44,,0.4767390563735833,-2.0,1.41421356237,
39,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.34,0.44,,0.4767390563735833,-2.0,1.41421356237,
40,22.731289324309845,1.0,-0.8486336459034827,0.7,1764110114.0,-0.9778536654969064,-0.9778536654969064,-0.12922001959342377,0.36000000000000004,0.44,0.4325125165988105,0.4767390563735833,-2.0,1.41421356237,0.04864059748634121
41,23.040217891482524,1.0,-0.6319242025577655,0.7,1764110114.0,-0.7611442221511893,-0.7611442221511893,-0.12922001959342377,0.37999999999999995,0.44,0.44486965928571753,0.4767390563735833,-2.0,1.41421356237,0.034580181964823375
42,23.330204613433825,1.0,-0.41859555449256725,0.7,1764110114.0,-0.547815574085991,-0.547815574085991,-0.12922001959342377,0.39999999999999997,0.44,0.4564691281637696,0.4767390563735833,-2.0,1.41421356237,0.02172069270895082
43,23.597175117480806,1.0,-0.20812519955095876,0.7,1764110114.0,-0.33734521914438254,-0.33734521914438254,-0.12922001959342377,0.42,0.44,0.467147948325649,0.4767390563735833,-2.0,1.41421356237,0.010161288374756813
44,23.836952818679165,1.0,0.0,0.7,1764110114.0,-0.12922001959342377,-0.12922001959342377,-0.12922001959342377,0.44,0.44,0.4767390563735833,0.4767390563735833,-2.0,1.41421356237,0.0
45,24.045506500533676,1.0,0.20628596488740875,0.7,1764110114.0,0.07706594529398497,0.07706594529398497,-0.12922001959342377,0.46,0.44,0.4850812036477637,0.4767390563735833,-2.0,1.41421356237,-0.008673291280010278
46,24.21913077655735,1.0,0.4112329583358218,0.7,1764110114.0,0.282012938742398,0.282012938742398,-0.12922001959342377,0.48000000000000004,0.44,0.49202617468871074,0.4767390563735833,-2.0,1.41421356237,-0.015780003064689272
47,24.354550499448496,1.0,0.6153370665392299,0.7,1764110114.0,0.48611704694580615,0.48611704694580615,-0.12922001959342377,0.49999999999999994,0.44,0.49744296360435647,0.4767390563735833,-2.0,1.41421356237,-0.021252606603478455
48,24.448968326546783,1.0,0.8190918342996648,0.7,1764110114.0,0.689871814706241,0.689871814706241,-0.12922001959342377,0.52,0.44,0.5012196766882879,0.4767390563735833,-2.0,1.41421356237,-0.02503236536173538
49,24.50009271793548,1.0,1.0229902173434877,0.7,1764110114.0,0.8937701977500638,0.8937701977500638,-0.12922001959342377,0.54,0.44,0.5032646523438359,0.4767390563735833,-2.0,1.41421356237,-0.02706683223165345
50,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.56,0.44,,0.4767390563735833,-2.0,1.41421356237,
51,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.5800000000000001,0.44,,0.4767390563735833,-2.0,1.41421356237,
52,,1.0,,0.7,1764110114.0,,,-0.12922001959342377,0.6000000000000001,0.44,,0.4767390563735833,-2.0,1.41421356237,
30,,1.0,,0.7999999999999999,1764110114.0,,,-0.07800488145343068,0.15999999999999998,0.44,,0.4411933595559885,-2.0,1.41421356237,
31,,1.0,,0.7999999999999999,1764110114.0,,,-0.07800488145343068,0.18,0.44,,0.4411933595559885,-2.0,1.41421356237,
32,,1.0,,0.7999999999999999,1764110114.0,,,-0.07800488145343068,0.2,0.44,,0.4411933595559885,-2.0,1.41421356237,
33,,1.0,,0.7999999999999999,1764110114.0,,,-0.07800488145343068,0.22000000000000003,0.44,,0.4411933595559885,-2.0,1.41421356237,
34,,1.0,,0.7999999999999999,1764110114.0,,,-0.07800488145343068,0.24000000000000005,0.44,,0.4411933595559885,-2.0,1.41421356237,
